Subzone,Population_Density,Latitude,Longitude
Taman Jurong,26900.2695,1.33488355,103.72078867428404
Wenya,4207.3171,46.012783,127.799174
Yunnan,30594.2075,1.33828435,103.69108941866651
Bendemeer,27301.7949,1.3136389,103.86300121034482
Boon Keng,28932.5153,1.3195690500000001,103.86174867772831
Crawford,35319.9022,1.30558585,103.86308765668299
Geylang Bahru,15305.2917,1.3198721,103.8720511
Kallang Bahru,23.818,1.3151945,103.8643849
Kampong Bugis,1238.2234,1.3086862,103.8658082
Kampong Java,10303.3268,1.3139715,103.8454729
Lavender,12785.3279,1.30734955,103.86315267326367
Tanjong Rhu,4563.5654,1.2973427499999999,103.87376426134355
Lim Chu Kang,6.3588,1.4342172,103.7149872
Mandai Estate,14605.1712,1.4080963999999998,103.75832690113953
Katong,8673.8949,1.3016238,103.9045983
Marine Parade,23168.4192,1.3026889,103.9073952
Mountbatten,5819.9207,1.3063254,103.88272779279126
Bras Basah,44.8029,1.2968214,103.85066583319599
Dhoby Ghaut,1441.4414,1.29955225,103.84533749528336
Fort Canning,493.3783,1.2923829,103.8442419564924
Cairnhill,8574.5856,1.3065605,103.83943983779069
Goodwood Park,3586.6781,22.497267,114.10320040845377
Istana Negara,110.3956,-6.16828555,106.82391505460768
Monk's Hill,5799.5495,50.5753438,-4.3321076
Newton Circus,1204.2389,1.3119894,103.8392897
Orange Grove,5324.2118,1.31353095,103.8266548476678
North-Eastern Islands,1.1661,1.3828816000000002,104.05072579821655
Balestier,16765.7551,1.326226,103.8473149
Dunearn,3214.0248,1.3210897,103.82786731298657
Malcolm,2234.0023,1.3225026,103.82646865312145
Moulmein,6900.1336,1.3180495,103.8501454
Mount Pleasant,219.4098,1.3267807,103.8293716
Boulevard,890.1433,1.2801372,103.8543912
Somerset,425.0152,1.30038375,103.8388284758278
Tanglin,2208.9552,1.3060443,103.8152804
China Square,10751.8797,1.2834925,103.8465903
Chinatown,17864.4414,1.2837372,103.8437976
Pearl's Hill,10932.4759,1.28489795,103.8398283978549
People's Park,3114.9302,1.2858105,103.8441598
Flora Drive,14702.0531,1.3598085,103.9650054
Loyang East,2332.1709,1.3753678,103.9772924
Loyang West,105.1625,1.3753678,103.9772924
Pasir Ris Central,21328.3938,1.3719958,103.9499491
Pasir Ris Drive,32866.2882,1.3730307,103.949255
Pasir Ris Park,4565.3346,1.37898635,103.95037978854626
Pasir Ris Wafer Fab Park,2.1774,,
Pasir Ris West,22603.2588,1.3730307,103.949255
Paya Lebar East,4.4263,1.3174795000000001,103.89235252467483
Paya Lebar North,23.3991,1.3174795000000001,103.89235252467483
Benoi Sector,4.8936,1.3195919,103.6804609
Gul Basin,5.7551,,
Gul Circle,6.1333,1.3196353,103.6606551
Joo Koon,12.7719,1.327735,103.6782221
Matilda,36726.9401,1.4013510999999998,103.89431787286698
Northshore,321.971,1.41688295,103.90214825813982
Punggol Field,35509.1384,1.4036768,103.8949179
Punggol Town Centre,18161.0508,1.40519735,103.90234976571602
Waterway East,34734.2398,1.40804245,103.89654614526219
Commonwealth,22544.2834,1.3024428,103.7983085
Dover,8000.0,1.3113893,103.778605
Ghim Moh,28276.8477,1.30884585,103.78549862199371
Holland Drive,27577.2075,1.3113748,103.7926767
Kent Ridge,43.8116,1.2933374,103.78449364604653
Margaret Drive,16848.1675,1.3014107,103.8013262
Mei Chin,20876.9107,1.2913563,103.8018202
National University of Singapore,136.6276,1.2962018,103.77689943784759
One North,354.3307,1.29954015,103.78725843058069
Pasir Panjang 1,4157.4484,1.27620135,103.7914758234202
